YEAR,WEEK,PROVINCE,DOSE,VACCINATIONS
2021,26,Hainaut,B,88071.0
2021,26,Hainaut,C,5493.0
2021,26,Limburg,A,113473.0
2021,26,Limburg,B,67667.0
2021,26,Limburg,C,16268.0
2021,26,Liège,A,119698.0
2021,26,Liège,B,95435.0
2021,26,Liège,C,3690.0
2021,26,Luxembourg,A,33280.0
2021,26,Luxembourg,B,29301.0
2021,26,Luxembourg,C,486.0
2021,26,Namur,A,55212.0
2021,26,Namur,B,43414.0
2021,26,Namur,C,5073.0
2021,26,Oost-Vlaanderen,A,188836.0
2021,26,Oost-Vlaanderen,B,108489.0
2021,26,Oost-Vlaanderen,C,21824.0
2021,26,Vlaams-Brabant,A,150675.0
2021,26,Vlaams-Brabant,B,95751.0
2021,26,Vlaams-Brabant,C,16767.0
2021,26,West-Vlaanderen,A,162638.0
2021,26,West-Vlaanderen,B,106909.0
2021,26,West-Vlaanderen,C,16748.0
2021,27,Antwerpen,A,234989.0
2021,27,Antwerpen,B,182857.0
2021,27,Antwerpen,C,22457.0
2021,27,Brabant Wallon,A,48067.0
2021,27,Brabant Wallon,B,41073.0
2021,27,Brabant Wallon,C,928.0
2021,27,Brussels,A,116103.0
2021,27,Brussels,B,89819.0
2021,27,Brussels,C,5016.0
2021,27,Hainaut,A,114398.0
